time,low,high,open,close,volume
2021-12-20 01:00:00,46492.6,47197.42,46880.0,46585.71,16.32349376
2021-12-20 02:00:00,46467.53,46819.92,46592.48,46722.83,8.86395375
2021-12-20 03:00:00,46483.02,46828.9,46727.82,46665.81,13.69841314
2021-12-20 04:00:00,46677.15,47031.65,46677.15,47019.15,8.86321463
2021-12-20 05:00:00,46380.63,47032.59,47018.74,46398.4,18.42085761
2021-12-20 06:00:00,46244.14,46643.43,46385.46,46533.5,12.18755248
2021-12-20 07:00:00,46096.91,46555.73,46533.5,46445.78,13.30884467
2021-12-20 08:00:00,46125.84,46552.04,46438.47,46262.07,9.37356663
2021-12-20 09:00:00,45824.51,46269.12,46254.67,45831.34,11.08662132
2021-12-20 10:00:00,45774.07,46147.39,45821.42,45870.61,13.87559082
2021-12-20 11:00:00,45822.8,46125.38,45868.38,46079.93,13.10244911
2021-12-20 12:00:00,45647.86,46083.47,46079.93,45744.57,12.04088239
2021-12-20 13:00:00,45583.56,45988.07,45730.7,45704.8,17.93500468
2021-12-20 14:00:00,45560.0,46308.12,45726.02,46307.24,28.93821082
2021-12-20 15:00:00,45913.09,46283.78,46283.78,45977.56,15.33964523
2021-12-20 16:00:00,45869.12,46500.0,45962.48,46399.81,19.53919247
2021-12-20 17:00:00,46097.23,46500.0,46401.8,46113.72,20.04904068
2021-12-20 18:00:00,46026.69,46326.24,46120.71,46258.61,14.19189606
2021-12-20 19:00:00,46243.58,46691.57,46271.26,46609.17,25.1631395
2021-12-20 20:00:00,46615.71,47243.24,46615.71,46990.01,30.48508586
2021-12-20 21:00:00,46967.12,47532.74,47007.47,46987.91,24.49932135
2021-12-20 22:00:00,46736.42,47106.75,47012.89,46754.41,10.71604183
2021-12-20 23:00:00,46769.15,47098.13,46770.17,46893.94,6.7626748
2021-12-21 00:00:00,46758.51,47091.09,46928.99,46791.61,10.29891676
2021-12-21 01:00:00,46648.05,47046.57,46782.17,47025.96,8.49307898
2021-12-21 02:00:00,46882.51,47034.16,47000.86,46942.5,5.22829183
2021-12-21 03:00:00,46925.9,48074.06,46941.93,48003.14,44.21049572
2021-12-21 04:00:00,47985.32,48824.56,47994.4,48568.73,26.95506229
2021-12-21 05:00:00,48311.73,48756.65,48589.32,48595.77,13.64250929
2021-12-21 06:00:00,48337.12,48668.65,48601.78,48545.31,6.57398928
2021-12-21 07:00:00,48427.7,48671.63,48545.31,48584.61,7.74867201
2021-12-21 08:00:00,48521.2,49003.9,48584.61,48584.02,16.98641908
2021-12-21 09:00:00,48431.77,48698.44,48583.03,48621.44,13.16613898
2021-12-21 10:00:00,48579.14,48778.23,48626.04,48636.18,8.81997348
2021-12-21 11:00:00,48636.19,48895.97,48646.09,48866.18,10.00372269
2021-12-21 12:00:00,48678.84,49332.36,48851.97,48736.89,33.39189364
2021-12-21 13:00:00,48581.26,48954.04,48742.65,48930.37,16.87114386
2021-12-21 14:00:00,48533.77,48970.31,48931.91,48638.65,14.13425411
2021-12-21 15:00:00,48305.93,48795.98,48642.38,48415.45,17.9311472
2021-12-21 16:00:00,48377.97,48747.81,48417.77,48670.25,10.29389018
2021-12-21 17:00:00,48567.26,48857.57,48680.85,48625.56,10.65050816
2021-12-21 18:00:00,48409.31,48679.67,48602.92,48422.72,9.5236616
2021-12-21 19:00:00,48336.26,48657.09,48458.0,48630.13,11.96718458
2021-12-21 20:00:00,48453.61,48779.35,48612.14,48555.7,5.11617708
2021-12-21 21:00:00,48528.67,49163.54,48535.16,49095.87,18.61754491
2021-12-21 22:00:00,48938.94,49288.62,49079.61,49287.56,16.27890177
2021-12-21 23:00:00,48807.22,49290.81,49273.32,48900.56,12.63019465
2021-12-22 00:00:00,48616.33,48977.38,48899.95,48622.26,10.14942477
2021-12-22 01:00:00,48601.77,48847.83,48618.52,48822.35,8.02725608
2021-12-22 02:00:00,48725.13,49569.81,48808.64,49327.06,26.09470225
2021-12-22 03:00:00,49167.79,49421.2,49339.09,49264.92,9.9381547
2021-12-22 04:00:00,49080.94,49332.66,49268.45,49329.59,8.55774611
2021-12-22 05:00:00,48931.7,49339.6,49329.39,48964.91,8.91628557
2021-12-22 06:00:00,48932.84,49225.9,48964.9,49071.85,12.24588952
2021-12-22 07:00:00,49082.74,49301.6,49082.74,49224.06,9.84475841
2021-12-22 08:00:00,49122.19,49528.48,49237.72,49281.95,16.01127993
2021-12-22 09:00:00,48842.12,49331.08,49285.81,48916.19,17.29291949
2021-12-22 10:00:00,48852.33,49148.56,48892.24,49090.98,11.84902198
2021-12-22 11:00:00,48908.7,49228.0,49110.85,48977.5,7.46643652
2021-12-22 12:00:00,48511.24,49118.75,48998.98,48562.73,21.23107159
2021-12-22 13:00:00,48433.35,48773.29,48571.16,48578.5,17.48148136
2021-12-22 14:00:00,48545.9,48912.83,48545.9,48812.0,11.82441401
2021-12-22 15:00:00,48644.97,48910.59,48839.53,48876.33,14.35570975
2021-12-22 16:00:00,48768.49,49239.5,48874.27,49028.27,15.94667683
2021-12-22 17:00:00,48679.0,49081.06,49040.33,48679.0,36.51938566
2021-12-22 18:00:00,48520.42,48836.68,48679.0,48569.35,29.03747012
2021-12-22 19:00:00,48506.13,48962.14,48557.43,48920.11,18.32692624
2021-12-22 20:00:00,48873.65,49139.09,48922.66,48972.73,12.86786768
2021-12-22 21:00:00,48844.53,49143.87,48930.64,49052.42,14.93772881
2021-12-22 22:00:00,48800.0,49065.65,49039.11,48948.27,8.48660965
2021-12-22 23:00:00,48561.34,48960.7,48960.7,48598.54,11.07685941
2021-12-23 00:00:00,48046.36,48672.51,48580.37,48271.53,24.6067821
2021-12-23 01:00:00,48081.88,48479.99,48286.74,48474.04,7.77306758
2021-12-23 02:00:00,48325.09,48747.39,48419.93,48355.21,15.04960043
2021-12-23 03:00:00,48214.31,48554.23,48373.86,48521.65,12.83344401
2021-12-23 04:00:00,48357.21,48578.24,48531.44,48380.73,7.06793056
